pair_ID	sentence_A	parse_A	sentence_B	parse_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
11	A brown dog is attacking another animal in front of the man in pants	(ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG attacking) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	A brown dog is helping another animal in front of the man in pants	(ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG helping) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	NEUTRAL	3.665	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
12	Two dogs are fighting	(ROOT (S (NP (CD Two) (NNS dogs)) (VP (VBP are) (VP (VBG fighting))) (. .)))	Two dogs are wrestling and hugging	(ROOT (S (NP (CD Two) (NNS dogs)) (VP (VBP are) (VP (VBG wrestling) (CC and) (VBG hugging))) (. .)))	NEUTRAL	4	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
13	Two dogs are wrestling and hugging	(ROOT (S (NP (CD Two) (NNS dogs)) (VP (VBP are) (VP (VBG wrestling) (CC and) (VBG hugging))) (. .)))	There is no dog wrestling and hugging	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN dog)) (VP (VBG wrestling) (CC and) (VBG hugging)))) (. .)))	CONTRADICTION	3.3	A_contradicts_B	B_contradicts_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TEST
14	A brown dog is attacking another animal in front of the man in pants	(ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG attacking) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	Two dogs are fighting	(ROOT (S (NP (CD Two) (NNS dogs)) (VP (VBP are) (VP (VBG fighting))) (. .)))	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
15	A brown dog is attacking another animal in front of the man in pants	(ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG attacking) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	There is no dog wrestling and hugging	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN dog)) (VP (VBG wrestling) (CC and) (VBG hugging)))) (. .)))	NEUTRAL	2.7	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TEST
16	Two dogs are wrestling and hugging	(ROOT (S (NP (CD Two) (NNS dogs)) (VP (VBP are) (VP (VBG wrestling) (CC and) (VBG hugging))) (. .)))	A brown dog is attacking another animal in front of the tall man in pants	(ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG attacking) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (JJ tall) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
17	Two dogs are wrestling and hugging	(ROOT (S (NP (CD Two) (NNS dogs)) (VP (VBP are) (VP (VBG wrestling) (CC and) (VBG hugging))) (. .)))	A brown dog is helping another animal in front of the man in pants	(ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG helping) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	NEUTRAL	2.3	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
18	A brown dog is attacking another animal in front of the man in pants	(ROOT (S (NP (DT A) (JJ brown) (NN dog)) (VP (VBZ is) (VP (VBG attacking) (NP (NP (DT another) (NN animal)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT the) (NN man)) (PP (IN in) (NP (NNS pants)))))))))) (. .)))	Two dogs are wrestling and hugging	(ROOT (S (NP (CD Two) (NNS dogs)) (VP (VBP are) (VP (VBG wrestling) (CC and) (VBG hugging))) (. .)))	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
19	A person in a black jacket is doing tricks on a motorbike	(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN in) (NP (DT a) (JJ black) (NN jacket)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike))))) (. .)))	A man in a black jacket is doing tricks on a motorbike	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ black) (NN jacket)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike))))) (. .)))	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
20	There is no man in a black jacket doing tricks on a motorbike	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ black) (NN jacket)) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike)))))))) (. .)))	A person in a black jacket is doing tricks on a motorbike	(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN in) (NP (DT a) (JJ black) (NN jacket)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike))))) (. .)))	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
21	A person in a black jacket is doing tricks on a motorbike	(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN in) (NP (DT a) (JJ black) (NN jacket)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike))))) (. .)))	A person on a black motorbike is doing tricks with a jacket	(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN on) (NP (DT a) (JJ black) (NN motorbike)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN with) (NP (DT a) (NN jacket))))) (. .)))	NEUTRAL	3	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
22	A skilled person is riding a bicycle on one wheel	(ROOT (S (NP (DT A) (JJ skilled) (NN person)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT a) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	A person is riding the bicycle on one wheel	(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT the) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
23	Nobody is riding the bicycle on one wheel	(ROOT (S (NP (NN Nobody)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT the) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	A person is riding the bicycle on one wheel	(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT the) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
24	A person in a black jacket is doing tricks on a motorbike	(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN in) (NP (DT a) (JJ black) (NN jacket)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike))))) (. .)))	A skilled person is riding a bicycle on one wheel	(ROOT (S (NP (DT A) (JJ skilled) (NN person)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT a) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TRIAL
25	Nobody is riding the bicycle on one wheel	(ROOT (S (NP (NN Nobody)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT the) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	A person in a black jacket is doing tricks on a motorbike	(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN in) (NP (DT a) (JJ black) (NN jacket)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike))))) (. .)))	NEUTRAL	2.8	A_contradicts_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TRAIN
26	A person is riding the bicycle on one wheel	(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT the) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	A man in a black jacket is doing tricks on a motorbike	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ black) (NN jacket)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike))))) (. .)))	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TRAIN
27	A person is riding the bicycle on one wheel	(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT the) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	There is no man in a black jacket doing tricks on a motorbike	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ black) (NN jacket)) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike)))))))) (. .)))	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
28	A person on a black motorbike is doing tricks with a jacket	(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN on) (NP (DT a) (JJ black) (NN motorbike)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN with) (NP (DT a) (NN jacket))))) (. .)))	A person is riding the bicycle on one wheel	(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT the) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TRAIN
29	A person is riding the bicycle on one wheel	(ROOT (S (NP (DT A) (NN person)) (VP (VBZ is) (VP (VBG riding) (NP (NP (DT the) (NN bicycle)) (PP (IN on) (NP (CD one) (NN wheel)))))) (. .)))	A person in a black jacket is doing tricks on a motorbike	(ROOT (S (NP (NP (DT A) (NN person)) (PP (IN in) (NP (DT a) (JJ black) (NN jacket)))) (VP (VBZ is) (VP (VBG doing) (NP (NNS tricks)) (PP (IN on) (NP (DT a) (NN motorbike))))) (. .)))	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
30	A man with a jersey is dunking the ball at a basketball game	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN jersey)))) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN ball)) (PP (IN at) (NP (DT a) (NN basketball) (NN game))))) (. .)))	The ball is being dunked by a man with a jersey at a basketball game	(ROOT (S (NP (DT The) (NN ball)) (VP (VBZ is) (VP (VBG being) (VP (VBN dunked) (PP (IN by) (NP (NP (DT a) (NN man)) (PP (IN with) (NP (NP (DT a) (NN jersey)) (PP (IN at) (NP (DT a) (NN basketball) (NN game)))))))))) (. .)))	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TRAIN
31	A man with a jersey is dunking the ball at a basketball game	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN jersey)))) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN ball)) (PP (IN at) (NP (DT a) (NN basketball) (NN game))))) (. .)))	There is no man dunking the ball at a basketball game	(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT no) (NN man)) (VP (VBG dunking) (NP (DT the) (NN ball)) (PP (IN at) (NP (DT a) (NN basketball) (NN game)))))) (. .)))	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
32	The game of basketball consists of a ball being dunked by a man with a jersey	(ROOT (S (NP (NP (DT The) (NN game)) (PP (IN of) (NP (NN basketball)))) (VP (VBZ consists) (PP (IN of) (NP (NP (DT a) (NN ball)) (VP (VBG being) (VP (VBN dunked) (PP (IN by) (NP (NP (DT a) (NN man)) (PP (IN with) (NP (DT a) (NN jersey)))))))))) (. .)))	A man with a jersey is dunking the ball at a basketball game	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN jersey)))) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN ball)) (PP (IN at) (NP (DT a) (NN basketball) (NN game))))) (. .)))	ENTAILMENT	4.2	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
33	A man who is playing dunks the basketball into the net and a crowd is in background	(ROOT (S (S (NP (NP (DT A) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG playing)))))) (VP (VBZ dunks) (NP (DT the) (NN basketball)) (PP (IN into) (NP (DT the) (NN net))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	The player is dunking the basketball into the net and a crowd is in background	(ROOT (S (S (NP (DT The) (NN player)) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN basketball)) (PP (IN into) (NP (DT the) (NN net)))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	ENTAILMENT	4.7	A_entails_B	B_entails_A	Player number 23 dunks the basketball into the net with a crowd in the background.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
34	The player is missing the basket and a crowd is in background	(ROOT (S (S (NP (DT The) (NN player)) (VP (VBZ is) (VP (VBG missing) (NP (DT the) (NN basket))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	The player is dunking the basketball into the net and a crowd is in background	(ROOT (S (S (NP (DT The) (NN player)) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN basketball)) (PP (IN into) (NP (DT the) (NN net)))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	Player number 23 dunks the basketball into the net with a crowd in the background.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
35	A man with a jersey is dunking the ball at a basketball game	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN jersey)))) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN ball)) (PP (IN at) (NP (DT a) (NN basketball) (NN game))))) (. .)))	A man who is playing dunks the basketball into the net and a crowd is in background	(ROOT (S (S (NP (NP (DT A) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (VP (VBG playing)))))) (VP (VBZ dunks) (NP (DT the) (NN basketball)) (PP (IN into) (NP (DT the) (NN net))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN
36	A man with a jersey is dunking the ball at a basketball game	(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (DT a) (NN jersey)))) (VP (VBZ is) (VP (VBG dunking) (NP (DT the) (NN ball)) (PP (IN at) (NP (DT a) (NN basketball) (NN game))))) (. .)))	The player is missing the basket and a crowd is in background	(ROOT (S (S (NP (DT The) (NN player)) (VP (VBZ is) (VP (VBG missing) (NP (DT the) (NN basket))))) (CC and) (S (NP (DT a) (NN crowd)) (VP (VBZ is) (PP (IN in) (NP (NN background))))) (. .)))	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
